Amount,ArmSkuName,BillingFrequency,BillingProfileId,BillingProfileName,Currency,Description,EventDate,EventType,Invoice,InvoiceId,InvoiceSectionId,InvoiceSectionName,PurchasingSubscriptionGuid,PurchasingSubscriptionName,Quantity,Region,ReservationOrderId,ReservationOrderName,Term
11.41,Standard_B2s,Recurring,/providers/Microsoft.Billing/billingAccounts/0444d88a-16b8-5ef3-8389-a3ebc99473ce:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/billingProfiles/2USN-TPCD-BG7-TGB,One Microsoft Billing Profile,USD,"Reserved VM Instance, Standard_B2s, US East, 3 Years",2025-02-28T10:05:03Z,Purchase,,/providers/Microsoft.Billing/billingAccounts/0444d88a-16b8-5ef3-8389-a3ebc99473ce:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/billingProfiles/2USN-TPCD-BG7-TGB/invoices/,/providers/Microsoft.Billing/billingAccounts/0444d88a-16b8-5ef3-8389-a3ebc99473ce:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/invoiceSections/GUHW-6O2G-PJA-TGB,CAB Provisioning,9bce3963-b92b-5bdb-9121-e58406bc0a83,TesSUb7,1.0,eastus,cb53aea2-d974-5c97-a806-4ca9fbac6b40,VM_RI_06-28-2023_17-28,36
4.23,Standard_B1ls,Recurring,/providers/Microsoft.Billing/billingAccounts/0444d88a-16b8-5ef3-8389-a3ebc99473ce:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/billingProfiles/2USN-TPCD-BG7-TGB,One Microsoft Billing Profile,USD,"Reserved VM Instance, Standard_B1ls, US East, 3 Years",2025-02-28T07:06:55Z,Purchase,,/providers/Microsoft.Billing/billingAccounts/0444d88a-16b8-5ef3-8389-a3ebc99473ce:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/billingProfiles/2USN-TPCD-BG7-TGB/invoices/,/providers/Microsoft.Billing/billingAccounts/0444d88a-16b8-5ef3-8389-a3ebc99473ce:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/invoiceSections/GUHW-6O2G-PJA-TGB,CAB Provisioning,9bce3963-b92b-5bdb-9121-e58406bc0a83,TesSUb7,3.0,eastus,62916ad8-9b83-5fbb-90b9-be6f067d542f,VM_RI_06-28-2023_17-26,36
-1.8,Standard_B1ls,Recurring,/providers/Microsoft.Billing/billingAccounts/0444d88a-16b8-5ef3-8389-a3ebc99473ce:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/billingProfiles/2USN-TPCD-BG7-TGB,One Microsoft Billing Profile,USD,"Reserved VM Instance, Standard_B1ls, AU East, 3 Years",2025-02-14T00:52:01Z,Cancel,,/providers/Microsoft.Billing/billingAccounts/0444d88a-16b8-5ef3-8389-a3ebc99473ce:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/billingProfiles/2USN-TPCD-BG7-TGB/invoices/,/providers/Microsoft.Billing/billingAccounts/0444d88a-16b8-5ef3-8389-a3ebc99473ce:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/invoiceSections/GUHW-6O2G-PJA-TGB,CAB Provisioning,49145b5f-2df7-5ada-92b2-4d0179c1b854,ASMS - Dev 0017G MCA-CL 3PP Test Deployment,1.0,australiaeast,1e5dffd6-276d-5aa0-98e4-de8ac3fe736c,VM_RI_2025-02-14_09-45,36
1.8,Standard_B1ls,Recurring,/providers/Microsoft.Billing/billingAccounts/0444d88a-16b8-5ef3-8389-a3ebc99473ce:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/billingProfiles/2USN-TPCD-BG7-TGB,One Microsoft Billing Profile,USD,"Reserved VM Instance, Standard_B1ls, AU East, 3 Years",2025-02-14T00:47:39Z,Purchase,,/providers/Microsoft.Billing/billingAccounts/0444d88a-16b8-5ef3-8389-a3ebc99473ce:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/billingProfiles/2USN-TPCD-BG7-TGB/invoices/,/providers/Microsoft.Billing/billingAccounts/0444d88a-16b8-5ef3-8389-a3ebc99473ce:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/invoiceSections/GUHW-6O2G-PJA-TGB,CAB Provisioning,49145b5f-2df7-5ada-92b2-4d0179c1b854,ASMS - Dev 0017G MCA-CL 3PP Test Deployment,1.0,australiaeast,1e5dffd6-276d-5aa0-98e4-de8ac3fe736c,VM_RI_2025-02-14_09-45,36
